Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AmazonWeb,Chrome 122.0.0.0,,,18-03-2024 14:28:26,18-03-2024 14:56:25,27m - 58.726s,PASSED
,,,,,,,
Test Cases/Login/Login_Valid,Chrome 122.0.0.0,,,18-03-2024 14:28:27,18-03-2024 14:33:02,4m - 35.342s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,18-03-2024 14:28:28,18-03-2024 14:28:36,8.838s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 122.0.0.0,,,18-03-2024 14:28:36,18-03-2024 14:28:44,7.206s,PASSED
"click(findTestObject(""AmazonLogin/LoginInvalid/Page_Amazon.com. Spend less. Smile more/span_Hello, sign in""))",Chrome 122.0.0.0,,,18-03-2024 14:28:44,18-03-2024 14:29:18,34.035s,PASSED
"setText(findTestObject(""Object Repository/AmazonLogin/Page_Amazon Sign-In/input_Email or mobile phone number_email""), ""4halehaleha@gmail.com"")",Chrome 122.0.0.0,,,18-03-2024 14:29:18,18-03-2024 14:30:19,1m - 1.122s,PASSED
"click(findTestObject(""Object Repository/AmazonLogin/Page_Amazon Sign-In/input_Enter your email or mobile phone numb_fc7402""))",Chrome 122.0.0.0,,,18-03-2024 14:30:19,18-03-2024 14:30:52,32.777s,PASSED
"setEncryptedText(findTestObject(""Object Repository/AmazonLogin/Page_Amazon Sign-In/input_Forgot your password_password""), ""A7XJPV0S6sEBacsgdop7Hw=="")",Chrome 122.0.0.0,,,18-03-2024 14:30:52,18-03-2024 14:31:22,30.531s,PASSED
"click(findTestObject(""Object Repository/AmazonLogin/Page_Amazon Sign-In/input_Enter your password_signInSubmit""))",Chrome 122.0.0.0,,,18-03-2024 14:31:22,18-03-2024 14:31:52,30.445s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/AmazonLogin/Page_Amazon.com. Spend less. Smile more/a_us""), 0)",Chrome 122.0.0.0,,,18-03-2024 14:31:52,18-03-2024 14:32:29,36.283s,PASSED
takeScreenshot(),Chrome 122.0.0.0,,,18-03-2024 14:32:29,18-03-2024 14:33:01,31.777s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,18-03-2024 14:33:01,18-03-2024 14:33:02,1.359s,PASSED
,,,,,,,
Test Cases/Login/Login_Invalid_Pass,Chrome 122.0.0.0,,,18-03-2024 14:33:02,18-03-2024 14:37:21,4m - 19.335s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,18-03-2024 14:33:02,18-03-2024 14:33:05,2.474s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 122.0.0.0,,,18-03-2024 14:33:05,18-03-2024 14:33:11,5.851s,PASSED
"click(findTestObject(""Object Repository/AmazonLogin/LoginInvalid/Page_Amazon.com. Spend less. Smile more/span_Hello, sign in""))",Chrome 122.0.0.0,,,18-03-2024 14:33:11,18-03-2024 14:33:44,33.236s,PASSED
"setText(findTestObject(""Object Repository/AmazonLogin/LoginInvalid/Page_Amazon Sign-In/input_Email or mobile phone number_email""), ""4halehaleha@gmail.com"")",Chrome 122.0.0.0,,,18-03-2024 14:33:44,18-03-2024 14:34:44,1m - 0.617s,PASSED
"click(findTestObject(""Object Repository/AmazonLogin/LoginInvalid/Page_Amazon Sign-In/input_Enter your email or mobile phone numb_fc7402""))",Chrome 122.0.0.0,,,18-03-2024 14:34:44,18-03-2024 14:35:16,31.835s,PASSED
"setEncryptedText(findTestObject(""Object Repository/AmazonLogin/LoginInvalid/Page_Amazon Sign-In/input_Forgot your password_password""), ""F0oePG56Ngx2bQSoBGQKOg=="")",Chrome 122.0.0.0,,,18-03-2024 14:35:16,18-03-2024 14:35:47,30.441s,PASSED
"click(findTestObject(""Object Repository/AmazonLogin/LoginInvalid/Page_Amazon Sign-In/input_Enter your password_signInSubmit""))",Chrome 122.0.0.0,,,18-03-2024 14:35:47,18-03-2024 14:36:20,33.298s,PASSED
"verifyElementText(findTestObject(""Object Repository/AmazonLogin/LoginInvalid/Page_Amazon Sign-In/span_Your password is incorrect""), ""Your password is incorrect"")",Chrome 122.0.0.0,,,18-03-2024 14:36:20,18-03-2024 14:36:50,30.357s,PASSED
takeScreenshot(),Chrome 122.0.0.0,,,18-03-2024 14:36:50,18-03-2024 14:37:21,30.174s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,18-03-2024 14:37:21,18-03-2024 14:37:21,0.728s,PASSED
,,,,,,,
Test Cases/Login/Login_Invalid_Email,Chrome 122.0.0.0,,,18-03-2024 14:37:21,18-03-2024 14:40:36,3m - 15.121s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,18-03-2024 14:37:22,18-03-2024 14:37:24,2.566s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 122.0.0.0,,,18-03-2024 14:37:24,18-03-2024 14:37:30,5.302s,PASSED
"click(findTestObject(""Object Repository/AmazonLogin/EmailInvalid/Page_Amazon.com. Spend less. Smile more/span_Hello, sign in""))",Chrome 122.0.0.0,,,18-03-2024 14:37:30,18-03-2024 14:38:03,33.534s,PASSED
"setText(findTestObject(""Object Repository/AmazonLogin/EmailInvalid/Page_Amazon Sign-In/input_Email or mobile phone number_email""), ""444halehaleha@gmail.com"")",Chrome 122.0.0.0,,,18-03-2024 14:38:03,18-03-2024 14:39:04,1m - 0.618s,PASSED
"click(findTestObject(""Object Repository/AmazonLogin/EmailInvalid/Page_Amazon Sign-In/input_Enter your email or mobile phone numb_fc7402""))",Chrome 122.0.0.0,,,18-03-2024 14:39:04,18-03-2024 14:39:35,31.758s,PASSED
